aircraft_id,tail_number,model,manufacturer,seats_economy,seats_business,seats_first,total_seats,long_haul_capable
1,GX-1001,A320,Airbus,150,12,0,162,False
2,GX-1002,A320,Airbus,150,12,0,162,False
3,GX-1003,A320,Airbus,150,12,0,162,False
4,GX-1004,A320,Airbus,150,12,0,162,False
5,GX-1005,A320,Airbus,150,12,0,162,False
6,GX-1006,A320,Airbus,150,12,0,162,False
7,GX-1007,A320,Airbus,150,12,0,162,False
8,GX-1008,A320,Airbus,150,12,0,162,False
9,GX-1009,A350,Airbus,250,40,8,298,True
10,GX-1010,A350,Airbus,250,40,8,298,True
11,GX-1011,A350,Airbus,250,40,8,298,True
12,GX-1012,A350,Airbus,250,40,8,298,True
13,GX-1013,A350,Airbus,250,40,8,298,True
14,GX-1014,A350,Airbus,250,40,8,298,True
15,GX-1015,A350,Airbus,250,40,8,298,True
16,GX-1016,A350,Airbus,250,40,8,298,True
17,GX-1017,A350,Airbus,250,40,8,298,True
18,GX-1018,A350,Airbus,250,40,8,298,True
19,GX-1019,B777,Boeing,300,42,10,352,True
20,GX-1020,B777,Boeing,300,42,10,352,True
21,GX-1021,B777,Boeing,300,42,10,352,True
22,GX-1022,B777,Boeing,300,42,10,352,True
23,GX-1023,B777,Boeing,300,42,10,352,True
24,GX-1024,B777,Boeing,300,42,10,352,True
25,GX-1025,B777,Boeing,300,42,10,352,True
26,GX-1026,B777,Boeing,300,42,10,352,True
27,GX-1027,B787,Boeing,220,30,0,250,True
28,GX-1028,B787,Boeing,220,30,0,250,True
29,GX-1029,B787,Boeing,220,30,0,250,True
30,GX-1030,B787,Boeing,220,30,0,250,True
31,GX-1031,B787,Boeing,220,30,0,250,True
32,GX-1032,B787,Boeing,220,30,0,250,True
33,GX-1033,B787,Boeing,220,30,0,250,True
34,GX-1034,B787,Boeing,220,30,0,250,True
