date_id,full_date,year,quarter,month,month_name,day_name,is_weekend
1,2021-07-01,2021,3,7,July,Thursday,False
2,2021-07-02,2021,3,7,July,Friday,True
3,2021-07-03,2021,3,7,July,Saturday,True
4,2021-07-04,2021,3,7,July,Sunday,False
5,2021-07-05,2021,3,7,July,Monday,False
6,2021-07-06,2021,3,7,July,Tuesday,False
7,2021-07-07,2021,3,7,July,Wednesday,False
8,2021-07-08,2021,3,7,July,Thursday,False
9,2021-07-09,2021,3,7,July,Friday,True
10,2021-07-10,2021,3,7,July,Saturday,True
11,2021-07-11,2021,3,7,July,Sunday,False
12,2021-07-12,2021,3,7,July,Monday,False
13,2021-07-13,2021,3,7,July,Tuesday,False
14,2021-07-14,2021,3,7,July,Wednesday,False
15,2021-07-15,2021,3,7,July,Thursday,False
16,2021-07-16,2021,3,7,July,Friday,True
17,2021-07-17,2021,3,7,July,Saturday,True
18,2021-07-18,2021,3,7,July,Sunday,False
19,2021-07-19,2021,3,7,July,Monday,False
20,2021-07-20,2021,3,7,July,Tuesday,False
21,2021-07-21,2021,3,7,July,Wednesday,False
22,2021-07-22,2021,3,7,July,Thursday,False
23,2021-07-23,2021,3,7,July,Friday,True
24,2021-07-24,2021,3,7,July,Saturday,True
25,2021-07-25,2021,3,7,July,Sunday,False
26,2021-07-26,2021,3,7,July,Monday,False
27,2021-07-27,2021,3,7,July,Tuesday,False
28,2021-07-28,2021,3,7,July,Wednesday,False
29,2021-07-29,2021,3,7,July,Thursday,False
30,2021-07-30,2021,3,7,July,Friday,True
31,2021-07-31,2021,3,7,July,Saturday,True
32,2021-08-01,2021,3,8,August,Sunday,False
33,2021-08-02,2021,3,8,August,Monday,False
34,2021-08-03,2021,3,8,August,Tuesday,False
35,2021-08-04,2021,3,8,August,Wednesday,False
36,2021-08-05,2021,3,8,August,Thursday,False
37,2021-08-06,2021,3,8,August,Friday,True
38,2021-08-07,2021,3,8,August,Saturday,True
39,2021-08-08,2021,3,8,August,Sunday,False
40,2021-08-09,2021,3,8,August,Monday,False
41,2021-08-10,2021,3,8,August,Tuesday,False
42,2021-08-11,2021,3,8,August,Wednesday,False
43,2021-08-12,2021,3,8,August,Thursday,False
44,2021-08-13,2021,3,8,August,Friday,True
45,2021-08-14,2021,3,8,August,Saturday,True
46,2021-08-15,2021,3,8,August,Sunday,False
47,2021-08-16,2021,3,8,August,Monday,False
48,2021-08-17,2021,3,8,August,Tuesday,False
49,2021-08-18,2021,3,8,August,Wednesday,False
50,2021-08-19,2021,3,8,August,Thursday,False
51,2021-08-20,2021,3,8,August,Friday,True
52,2021-08-21,2021,3,8,August,Saturday,True
53,2021-08-22,2021,3,8,August,Sunday,False
54,2021-08-23,2021,3,8,August,Monday,False
55,2021-08-24,2021,3,8,August,Tuesday,False
56,2021-08-25,2021,3,8,August,Wednesday,False
57,2021-08-26,2021,3,8,August,Thursday,False
58,2021-08-27,2021,3,8,August,Friday,True
59,2021-08-28,2021,3,8,August,Saturday,True
60,2021-08-29,2021,3,8,August,Sunday,False
61,2021-08-30,2021,3,8,August,Monday,False
62,2021-08-31,2021,3,8,August,Tuesday,False
63,2021-09-01,2021,3,9,September,Wednesday,False
64,2021-09-02,2021,3,9,September,Thursday,False
65,2021-09-03,2021,3,9,September,Friday,True
66,2021-09-04,2021,3,9,September,Saturday,True
67,2021-09-05,2021,3,9,September,Sunday,False
68,2021-09-06,2021,3,9,September,Monday,False
69,2021-09-07,2021,3,9,September,Tuesday,False
70,2021-09-08,2021,3,9,September,Wednesday,False
71,2021-09-09,2021,3,9,September,Thursday,False
72,2021-09-10,2021,3,9,September,Friday,True
73,2021-09-11,2021,3,9,September,Saturday,True
74,2021-09-12,2021,3,9,September,Sunday,False
75,2021-09-13,2021,3,9,September,Monday,False
76,2021-09-14,2021,3,9,September,Tuesday,False
77,2021-09-15,2021,3,9,September,Wednesday,False
78,2021-09-16,2021,3,9,September,Thursday,False
79,2021-09-17,2021,3,9,September,Friday,True
80,2021-09-18,2021,3,9,September,Saturday,True
81,2021-09-19,2021,3,9,September,Sunday,False
82,2021-09-20,2021,3,9,September,Monday,False
83,2021-09-21,2021,3,9,September,Tuesday,False
84,2021-09-22,2021,3,9,September,Wednesday,False
85,2021-09-23,2021,3,9,September,Thursday,False
86,2021-09-24,2021,3,9,September,Friday,True
87,2021-09-25,2021,3,9,September,Saturday,True
88,2021-09-26,2021,3,9,September,Sunday,False
89,2021-09-27,2021,3,9,September,Monday,False
90,2021-09-28,2021,3,9,September,Tuesday,False
91,2021-09-29,2021,3,9,September,Wednesday,False
92,2021-09-30,2021,3,9,September,Thursday,False
93,2021-10-01,2021,4,10,October,Friday,True
94,2021-10-02,2021,4,10,October,Saturday,True
95,2021-10-03,2021,4,10,October,Sunday,False
96,2021-10-04,2021,4,10,October,Monday,False
97,2021-10-05,2021,4,10,October,Tuesday,False
98,2021-10-06,2021,4,10,October,Wednesday,False
99,2021-10-07,2021,4,10,October,Thursday,False
100,2021-10-08,2021,4,10,October,Friday,True
101,2021-10-09,2021,4,10,October,Saturday,True
102,2021-10-10,2021,4,10,October,Sunday,False
103,2021-10-11,2021,4,10,October,Monday,False
104,2021-10-12,2021,4,10,October,Tuesday,False
105,2021-10-13,2021,4,10,October,Wednesday,False
106,2021-10-14,2021,4,10,October,Thursday,False
107,2021-10-15,2021,4,10,October,Friday,True
108,2021-10-16,2021,4,10,October,Saturday,True
109,2021-10-17,2021,4,10,October,Sunday,False
110,2021-10-18,2021,4,10,October,Monday,False
111,2021-10-19,2021,4,10,October,Tuesday,False
112,2021-10-20,2021,4,10,October,Wednesday,False
113,2021-10-21,2021,4,10,October,Thursday,False
114,2021-10-22,2021,4,10,October,Friday,True
115,2021-10-23,2021,4,10,October,Saturday,True
116,2021-10-24,2021,4,10,October,Sunday,False
117,2021-10-25,2021,4,10,October,Monday,False
118,2021-10-26,2021,4,10,October,Tuesday,False
119,2021-10-27,2021,4,10,October,Wednesday,False
120,2021-10-28,2021,4,10,October,Thursday,False
121,2021-10-29,2021,4,10,October,Friday,True
122,2021-10-30,2021,4,10,October,Saturday,True
123,2021-10-31,2021,4,10,October,Sunday,False
124,2021-11-01,2021,4,11,November,Monday,False
125,2021-11-02,2021,4,11,November,Tuesday,False
126,2021-11-03,2021,4,11,November,Wednesday,False
127,2021-11-04,2021,4,11,November,Thursday,False
128,2021-11-05,2021,4,11,November,Friday,True
129,2021-11-06,2021,4,11,November,Saturday,True
130,2021-11-07,2021,4,11,November,Sunday,False
131,2021-11-08,2021,4,11,November,Monday,False
132,2021-11-09,2021,4,11,November,Tuesday,False
133,2021-11-10,2021,4,11,November,Wednesday,False
134,2021-11-11,2021,4,11,November,Thursday,False
135,2021-11-12,2021,4,11,November,Friday,True
136,2021-11-13,2021,4,11,November,Saturday,True
137,2021-11-14,2021,4,11,November,Sunday,False
138,2021-11-15,2021,4,11,November,Monday,False
139,2021-11-16,2021,4,11,November,Tuesday,False
140,2021-11-17,2021,4,11,November,Wednesday,False
141,2021-11-18,2021,4,11,November,Thursday,False
142,2021-11-19,2021,4,11,November,Friday,True
143,2021-11-20,2021,4,11,November,Saturday,True
144,2021-11-21,2021,4,11,November,Sunday,False
145,2021-11-22,2021,4,11,November,Monday,False
146,2021-11-23,2021,4,11,November,Tuesday,False
147,2021-11-24,2021,4,11,November,Wednesday,False
148,2021-11-25,2021,4,11,November,Thursday,False
149,2021-11-26,2021,4,11,November,Friday,True
150,2021-11-27,2021,4,11,November,Saturday,True
151,2021-11-28,2021,4,11,November,Sunday,False
152,2021-11-29,2021,4,11,November,Monday,False
153,2021-11-30,2021,4,11,November,Tuesday,False
154,2021-12-01,2021,4,12,December,Wednesday,False
155,2021-12-02,2021,4,12,December,Thursday,False
156,2021-12-03,2021,4,12,December,Friday,True
157,2021-12-04,2021,4,12,December,Saturday,True
158,2021-12-05,2021,4,12,December,Sunday,False
159,2021-12-06,2021,4,12,December,Monday,False
160,2021-12-07,2021,4,12,December,Tuesday,False
161,2021-12-08,2021,4,12,December,Wednesday,False
162,2021-12-09,2021,4,12,December,Thursday,False
163,2021-12-10,2021,4,12,December,Friday,True
164,2021-12-11,2021,4,12,December,Saturday,True
165,2021-12-12,2021,4,12,December,Sunday,False
166,2021-12-13,2021,4,12,December,Monday,False
167,2021-12-14,2021,4,12,December,Tuesday,False
