FlightID,DelayMinutes,FlightStatus,SeatsSoldEconomy,SeatsSoldBusiness,SeatsSoldFirst,LoadFactorPct
1,10,ON TIME,209,30,7,69.9
2,136,Delayed,259,38,8,86.6
3,10,ON TIME,166,21,0,74.8
4,0,CANCELLED,0,0,0,0.0
5,11,ON TIME,232,33,7,77.3
6,152,Delayed,229,36,8,77.6
7,23,Delayed,264,39,9,88.6
8,180,Delayed,209,30,8,70.2
9,11,ON TIME,138,23,0,64.4
10,6,ON TIME,198,29,0,90.8
11,126,Delayed,240,36,7,95.0
12,1,ON TIME,157,31,6,65.1
13,0,CANCELLED,0,0,0,0.0
14,5,ON TIME,200,26,0,90.4
15,39,Delayed,252,42,9,86.1
16,9,ON TIME,251,38,10,84.9
17,0,CANCELLED,0,0,0,0.0
18,11,ON TIME,214,37,6,86.2
19,5,ON TIME,166,26,5,66.1
20,124,Delayed,169,29,6,68.5
21,5,ON TIME,186,34,6,75.8
22,11,ON TIME,203,33,6,81.2
23,9,ON TIME,182,29,6,72.8
24,8,ON TIME,220,38,6,88.6
25,1,ON TIME,187,29,6,74.5
26,12,ON TIME,192,28,7,76.2
27,12,ON TIME,224,29,7,73.9
28,3,ON TIME,222,29,7,73.3
29,97,Delayed,240,37,7,80.7
30,11,ON TIME,221,35,7,74.7
31,8,ON TIME,204,32,7,81.5
32,1,ON TIME,190,28,6,75.2
33,0,ON TIME,190,25,0,86.0
34,3,ON TIME,164,19,0,73.2
35,14,ON TIME,205,30,6,80.9
36,0,CANCELLED,0,0,0,0.0
37,12,ON TIME,198,30,0,91.2
38,13,ON TIME,173,23,0,78.4
39,7,ON TIME,250,35,9,83.5
40,9,ON TIME,265,40,10,89.5
41,12,ON TIME,167,27,4,66.4
42,14,ON TIME,185,27,6,73.2
43,0,CANCELLED,0,0,0,0.0
44,9,ON TIME,191,30,0,88.4
45,24,Delayed,160,23,0,73.2
46,4,ON TIME,186,26,0,84.8
47,5,ON TIME,194,27,0,88.4
48,8,ON TIME,151,20,0,68.4
49,10,ON TIME,169,23,0,76.8
50,1,ON TIME,142,21,0,65.2
51,1,ON TIME,250,35,7,98.0
52,12,ON TIME,211,32,7,83.9
53,2,ON TIME,225,36,6,75.9
54,0,CANCELLED,0,0,0,0.0
55,14,ON TIME,214,29,6,70.7
56,67,Delayed,219,29,7,72.4
57,7,ON TIME,158,31,4,64.8
58,14,ON TIME,210,38,7,85.6
59,8,ON TIME,220,40,6,89.3
60,5,ON TIME,250,38,7,99.0
61,5,ON TIME,144,25,0,67.6
62,8,ON TIME,190,25,0,86.0
63,14,ON TIME,163,22,0,74.0
64,11,ON TIME,185,24,0,83.6
65,8,ON TIME,188,34,7,76.8
66,8,ON TIME,198,30,5,78.2
67,3,ON TIME,202,27,7,67.0
68,6,ON TIME,244,36,8,81.8
69,0,ON TIME,152,19,0,68.4
70,8,ON TIME,179,22,0,80.4
71,14,ON TIME,195,28,6,76.8
72,11,ON TIME,245,40,8,98.3
73,12,ON TIME,167,30,6,68.1
74,10,ON TIME,180,25,6,70.8
75,13,ON TIME,221,31,8,73.9
76,3,ON TIME,232,29,7,76.1
77,3,ON TIME,136,17,0,61.2
78,6,ON TIME,175,27,0,80.8
79,2,ON TIME,125,18,0,57.2
80,1,ON TIME,203,30,0,93.2
81,10,ON TIME,243,38,7,81.8
82,7,ON TIME,193,24,7,63.6
83,10,ON TIME,268,39,7,89.2
84,10,ON TIME,219,33,7,73.6
85,20,Delayed,224,35,6,88.9
86,3,ON TIME,205,30,8,81.5
87,0,CANCELLED,0,0,0,0.0
88,0,CANCELLED,0,0,0,0.0
89,7,ON TIME,209,30,0,95.6
90,5,ON TIME,169,24,0,77.2
91,30,Delayed,224,32,7,74.7
92,5,ON TIME,203,29,6,67.6
93,7,ON TIME,197,32,6,78.9
94,9,ON TIME,163,36,6,68.8
95,11,ON TIME,162,25,0,74.8
96,6,ON TIME,189,27,0,86.4
97,5,ON TIME,180,22,0,80.8
98,0,ON TIME,144,20,0,65.6
99,7,ON TIME,189,29,5,74.8
100,9,ON TIME,189,24,5,73.2
101,0,CANCELLED,0,0,0,0.0
102,0,ON TIME,171,21,0,76.8
103,14,ON TIME,143,25,0,67.2
104,7,ON TIME,186,28,0,85.6
105,26,Delayed,168,18,0,74.4
106,3,ON TIME,169,24,0,77.2
107,6,ON TIME,197,26,0,89.2
108,11,ON TIME,183,25,0,83.2
109,9,ON TIME,191,27,7,63.9
110,12,ON TIME,224,36,10,76.7
111,0,CANCELLED,0,0,0,0.0
112,14,ON TIME,179,27,6,71.1
113,13,ON TIME,192,26,5,63.4
114,9,ON TIME,198,28,8,66.5
115,9,ON TIME,152,24,5,51.4
116,8,ON TIME,186,24,6,61.4
117,2,ON TIME,173,24,0,78.8
118,13,ON TIME,185,23,0,83.2
119,4,ON TIME,176,29,5,70.5
120,5,ON TIME,229,34,6,90.3
121,149,Delayed,165,27,6,66.4
122,7,ON TIME,208,35,7,83.9
123,4,ON TIME,197,34,7,79.9
124,5,ON TIME,165,30,5,67.1
125,3,ON TIME,181,26,0,82.8
126,1,ON TIME,177,28,0,82.0
127,142,Delayed,177,25,7,59.4
128,7,ON TIME,241,39,8,81.8
129,6,ON TIME,224,29,7,73.9
130,46,Delayed,180,31,6,61.6
131,7,ON TIME,179,29,0,83.2
132,14,ON TIME,170,22,0,76.8
133,1,ON TIME,190,26,0,86.4
134,7,ON TIME,208,29,0,94.8
135,9,ON TIME,169,23,0,76.8
136,10,ON TIME,201,25,0,90.4
137,10,ON TIME,284,32,8,92.0
138,70,Delayed,300,42,10,100.0
139,145,Delayed,197,28,0,90.0
140,5,ON TIME,204,30,0,93.6
141,0,CANCELLED,0,0,0,0.0
142,2,ON TIME,231,36,8,78.1
143,0,ON TIME,193,34,6,78.2
144,14,ON TIME,194,29,7,77.2
145,0,ON TIME,166,23,0,75.6
146,14,ON TIME,153,22,0,70.0
147,103,Delayed,194,34,7,78.9
148,8,ON TIME,194,33,6,78.2
149,7,ON TIME,181,27,7,61.1
150,8,ON TIME,201,30,7,67.6
151,14,ON TIME,235,38,8,94.3
152,155,Delayed,176,29,5,70.5
153,0,ON TIME,184,24,0,83.2
154,0,CANCELLED,0,0,0,0.0
155,2,ON TIME,203,29,0,92.8
156,9,ON TIME,153,21,0,69.6
157,69,Delayed,275,39,10,92.0
158,0,CANCELLED,0,0,0,0.0
159,9,ON TIME,194,30,7,65.6
160,0,ON TIME,220,31,8,73.6
161,10,ON TIME,228,33,8,90.3
162,8,ON TIME,174,27,6,69.5
163,10,ON TIME,220,27,0,98.8
164,2,ON TIME,155,17,0,68.8
165,2,ON TIME,216,33,7,85.9
166,28,Delayed,196,35,7,79.9
167,12,ON TIME,197,27,7,77.5
168,2,ON TIME,165,27,5,66.1
169,11,ON TIME,215,31,6,71.6
170,14,ON TIME,232,34,8,77.8
171,0,ON TIME,196,27,0,89.2
172,1,ON TIME,195,29,0,89.6
173,5,ON TIME,205,27,7,67.9
174,6,ON TIME,220,35,9,75.0
175,6,ON TIME,198,37,7,81.2
176,10,ON TIME,155,26,5,62.4
177,9,ON TIME,234,34,7,78.1
178,10,ON TIME,217,27,8,71.6
179,150,Delayed,163,20,0,73.2
180,9,ON TIME,183,25,0,83.2
181,13,ON TIME,198,36,5,80.2
182,108,Delayed,213,30,7,83.9
183,166,Delayed,294,42,9,98.0
184,2,ON TIME,211,34,8,71.9
185,0,CANCELLED,0,0,0,0.0
186,0,CANCELLED,0,0,0,0.0
187,14,ON TIME,215,36,6,86.2
188,154,Delayed,196,31,7,78.5
189,9,ON TIME,186,36,7,76.8
190,3,ON TIME,196,31,7,78.5
191,85,Delayed,204,38,7,83.6
192,14,ON TIME,224,38,8,90.6
193,0,ON TIME,149,19,0,67.2
194,0,CANCELLED,0,0,0,0.0
195,0,ON TIME,176,29,5,70.5
196,107,Delayed,217,28,6,84.2
197,5,ON TIME,190,31,6,76.2
198,0,CANCELLED,0,0,0,0.0
199,176,Delayed,230,33,6,90.3
200,159,Delayed,187,37,7,77.5
201,0,ON TIME,256,36,8,85.2
202,9,ON TIME,201,31,7,67.9
203,13,ON TIME,280,37,10,92.9
204,5,ON TIME,300,39,10,99.1
205,11,ON TIME,178,26,6,59.7
206,9,ON TIME,252,36,9,84.4
207,11,ON TIME,265,33,9,87.2
208,9,ON TIME,277,39,9,92.3
209,13,ON TIME,157,27,6,63.8
210,13,ON TIME,228,40,7,92.3
211,0,ON TIME,188,28,6,74.5
212,10,ON TIME,229,32,7,89.9
213,14,ON TIME,239,32,8,79.3
214,3,ON TIME,196,28,7,65.6
215,13,ON TIME,176,24,6,69.1
216,80,Delayed,241,38,7,96.0
217,0,ON TIME,153,21,0,69.6
218,12,ON TIME,179,21,0,80.0
219,12,ON TIME,230,30,7,75.9
220,10,ON TIME,207,31,7,69.6
221,0,ON TIME,168,24,0,76.8
222,8,ON TIME,162,18,0,72.0
223,1,ON TIME,173,20,0,77.2
224,8,ON TIME,195,30,0,90.0
225,5,ON TIME,239,34,9,80.1
226,6,ON TIME,300,40,9,99.1
227,5,ON TIME,177,23,0,80.0
228,4,ON TIME,181,24,0,82.0
229,0,ON TIME,196,29,6,77.5
230,6,ON TIME,181,33,6,73.8
231,11,ON TIME,219,40,5,88.6
232,13,ON TIME,212,34,6,84.6
233,2,ON TIME,175,22,0,78.8
234,3,ON TIME,193,28,0,88.4
235,3,ON TIME,161,26,0,74.8
236,3,ON TIME,217,27,0,97.6
237,5,ON TIME,189,31,6,75.8
238,105,Delayed,199,33,6,79.9
239,9,ON TIME,172,22,0,77.6
240,119,Delayed,124,18,0,56.8
241,13,ON TIME,166,23,0,75.6
242,14,ON TIME,172,27,0,79.6
243,10,ON TIME,250,29,8,81.5
244,10,ON TIME,279,42,9,93.8
245,56,Delayed,247,38,7,98.0
246,8,ON TIME,198,33,8,80.2
247,14,ON TIME,218,29,8,72.4
248,8,ON TIME,221,36,8,75.3
249,14,ON TIME,194,24,6,75.2
250,10,ON TIME,173,32,5,70.5
251,9,ON TIME,205,37,7,83.6
252,11,ON TIME,186,33,7,75.8
253,133,Delayed,220,29,8,73.0
254,9,ON TIME,275,42,10,92.9
255,6,ON TIME,241,29,8,79.0
256,13,ON TIME,241,30,7,79.0
257,5,ON TIME,167,19,0,74.4
258,1,ON TIME,195,29,0,89.6
259,0,ON TIME,238,33,7,79.0
260,3,ON TIME,268,33,9,88.1
261,13,ON TIME,183,28,0,84.4
262,0,ON TIME,171,25,0,78.4
263,0,CANCELLED,0,0,0,0.0
264,1,ON TIME,263,37,9,87.8
265,156,Delayed,158,23,0,72.4
266,88,Delayed,156,21,0,70.8
267,9,ON TIME,156,23,0,71.6
268,101,Delayed,146,23,0,67.6
269,9,ON TIME,238,38,8,80.7
270,1,ON TIME,254,36,10,85.2
271,1,ON TIME,168,32,5,68.8
272,12,ON TIME,179,31,5,72.1
273,9,ON TIME,171,22,0,77.2
274,11,ON TIME,175,20,0,78.0
275,0,ON TIME,252,39,9,85.2
276,3,ON TIME,254,39,9,85.8
277,11,ON TIME,225,33,8,75.6
278,4,ON TIME,215,26,9,71.0
279,3,ON TIME,190,29,0,87.6
280,5,ON TIME,141,19,0,64.0
281,0,ON TIME,162,27,6,65.4
282,84,Delayed,188,32,6,75.8
283,13,ON TIME,201,33,7,68.5
284,6,ON TIME,268,36,8,88.6
285,11,ON TIME,224,32,7,74.7
286,97,Delayed,237,33,8,79.0
287,7,ON TIME,133,18,0,60.4
288,7,ON TIME,198,28,0,90.4
289,1,ON TIME,226,33,8,89.6
290,1,ON TIME,186,29,5,73.8
291,7,ON TIME,193,37,6,79.2
292,88,Delayed,208,32,6,82.6
293,3,ON TIME,184,33,5,74.5
294,0,CANCELLED,0,0,0,0.0
295,5,ON TIME,212,35,8,85.6
296,12,ON TIME,177,33,7,72.8
297,0,CANCELLED,0,0,0,0.0
298,0,ON TIME,230,31,7,76.1
299,7,ON TIME,251,34,8,83.2
300,10,ON TIME,276,33,10,90.6
301,6,ON TIME,155,21,0,70.4
302,157,Delayed,148,22,0,68.0
303,14,ON TIME,257,32,10,84.9
304,13,ON TIME,276,40,9,92.3
305,10,ON TIME,176,25,5,69.1
306,179,Delayed,174,29,6,70.1
307,4,ON TIME,162,23,0,74.0
308,2,ON TIME,146,23,0,67.6
309,11,ON TIME,175,22,0,78.8
310,0,ON TIME,152,21,0,69.2
311,2,ON TIME,190,25,0,86.0
312,0,ON TIME,146,19,0,66.0
313,152,Delayed,205,35,6,82.6
314,106,Delayed,185,30,6,74.2
315,0,CANCELLED,0,0,0,0.0
316,166,Delayed,208,35,6,83.6
317,12,ON TIME,188,33,6,76.2
318,0,CANCELLED,0,0,0,0.0
319,76,Delayed,238,32,7,78.7
320,13,ON TIME,217,36,7,73.9
321,13,ON TIME,131,16,0,58.8
322,143,Delayed,162,20,0,72.8
323,9,ON TIME,183,28,6,72.8
324,5,ON TIME,175,28,6,70.1
325,0,CANCELLED,0,0,0,0.0
326,11,ON TIME,206,29,5,80.5
327,0,ON TIME,226,36,6,89.9
328,0,CANCELLED,0,0,0,0.0
329,95,Delayed,143,22,0,66.0
330,140,Delayed,187,30,0,86.8
331,14,ON TIME,232,29,6,75.9
332,0,ON TIME,241,37,8,81.2
333,3,ON TIME,168,24,6,56.2
334,1,ON TIME,270,35,8,88.9
335,5,ON TIME,297,42,10,99.1
336,5,ON TIME,247,35,10,83.0
337,8,ON TIME,199,36,7,81.2
338,32,Delayed,210,34,6,83.9
339,108,Delayed,218,31,8,73.0
340,4,ON TIME,234,29,6,76.4
341,2,ON TIME,191,28,6,75.5
342,9,ON TIME,181,34,6,74.2
343,10,ON TIME,221,30,7,73.3
344,118,Delayed,203,26,8,67.3
345,89,Delayed,190,31,5,75.8
346,51,Delayed,194,27,6,76.2
347,116,Delayed,182,24,0,82.4
348,12,ON TIME,207,27,0,93.6
349,3,ON TIME,216,35,7,73.3
350,69,Delayed,255,34,8,84.4
351,5,ON TIME,186,27,0,85.2
352,11,ON TIME,176,27,0,81.2
353,8,ON TIME,143,23,0,66.4
354,10,ON TIME,182,27,0,83.6
355,5,ON TIME,216,33,8,73.0
356,7,ON TIME,193,27,6,64.2
357,11,ON TIME,224,29,8,74.1
358,9,ON TIME,211,30,8,70.7
359,1,ON TIME,218,33,7,73.3
360,13,ON TIME,232,31,8,77.0
361,7,ON TIME,202,25,7,66.5
362,12,ON TIME,191,29,7,64.5
363,10,ON TIME,220,28,0,99.2
364,10,ON TIME,196,26,0,88.8
365,2,ON TIME,214,28,8,71.0
366,3,ON TIME,193,30,6,65.1
367,13,ON TIME,159,28,5,64.4
368,7,ON TIME,249,40,8,99.7
369,8,ON TIME,245,30,9,80.7
370,3,ON TIME,190,29,7,64.2
371,10,ON TIME,150,24,4,59.7
372,70,Delayed,186,25,6,72.8
373,10,ON TIME,212,32,8,71.6
374,14,ON TIME,245,36,9,82.4
375,0,CANCELLED,0,0,0,0.0
376,7,ON TIME,146,20,0,66.4
377,8,ON TIME,179,30,6,72.1
378,9,ON TIME,189,27,6,74.5
379,1,ON TIME,236,34,8,79.0
380,10,ON TIME,254,29,8,82.7
381,14,ON TIME,218,30,6,85.2
382,2,ON TIME,180,26,6,71.1
383,0,ON TIME,265,42,9,89.8
384,14,ON TIME,229,34,8,77.0
385,14,ON TIME,162,20,0,72.8
386,48,Delayed,183,28,0,84.4
387,45,Delayed,236,29,6,77.0
388,0,CANCELLED,0,0,0,0.0
389,2,ON TIME,196,24,0,88.0
390,12,ON TIME,171,29,0,80.0
391,6,ON TIME,254,40,7,85.5
392,2,ON TIME,238,36,7,79.8
393,12,ON TIME,153,19,0,68.8
394,122,Delayed,171,23,0,77.6
395,10,ON TIME,209,34,7,83.9
396,9,ON TIME,209,30,6,82.2
397,52,Delayed,212,33,6,84.2
398,9,ON TIME,225,33,8,89.3
399,70,Delayed,182,27,0,83.6
400,4,ON TIME,149,17,0,66.4
401,6,ON TIME,149,22,5,59.1
402,0,ON TIME,245,39,8,98.0
403,37,Delayed,206,28,0,93.6
404,0,ON TIME,178,24,0,80.8
405,10,ON TIME,158,24,0,72.8
406,11,ON TIME,170,24,0,77.6
407,0,ON TIME,168,25,0,77.2
408,3,ON TIME,115,18,0,53.2
409,12,ON TIME,162,26,0,75.2
410,5,ON TIME,153,21,0,69.6
411,25,Delayed,180,29,6,72.1
412,25,Delayed,167,25,6,66.4
413,10,ON TIME,248,32,7,81.5
414,0,CANCELLED,0,0,0,0.0
415,9,ON TIME,184,28,5,72.8
416,155,Delayed,183,32,7,74.5
417,9,ON TIME,234,39,7,94.0
418,145,Delayed,192,32,6,77.2
419,3,ON TIME,223,26,8,73.0
420,5,ON TIME,212,38,8,73.3
421,147,Delayed,197,26,0,89.2
422,14,ON TIME,191,26,0,86.8
423,4,ON TIME,166,25,0,76.4
424,12,ON TIME,183,28,0,84.4
425,11,ON TIME,257,37,9,86.1
426,16,Delayed,258,31,8,84.4
427,76,Delayed,163,20,0,73.2
428,10,ON TIME,159,21,0,72.0
429,13,ON TIME,157,22,0,71.6
430,6,ON TIME,192,23,0,86.0
431,19,Delayed,201,31,6,79.9
432,8,ON TIME,190,33,7,77.2
433,0,CANCELLED,0,0,0,0.0
434,7,ON TIME,199,36,6,80.9
435,127,Delayed,169,23,0,76.8
436,0,CANCELLED,0,0,0,0.0
437,10,ON TIME,237,38,9,80.7
438,106,Delayed,183,28,8,62.2
439,12,ON TIME,179,28,0,82.8
440,0,ON TIME,138,21,0,63.6
441,177,Delayed,243,29,8,79.5
442,143,Delayed,197,24,6,64.5
443,0,CANCELLED,0,0,0,0.0
444,170,Delayed,190,24,0,85.6
445,0,ON TIME,185,24,7,61.4
446,13,ON TIME,283,39,10,94.3
447,3,ON TIME,198,31,6,78.9
448,12,ON TIME,250,40,8,100.0
449,7,ON TIME,163,22,0,74.0
450,3,ON TIME,138,20,0,63.2
451,179,Delayed,132,18,0,60.0
452,10,ON TIME,161,24,0,74.0
453,13,ON TIME,224,26,7,73.0
454,13,ON TIME,264,41,10,89.5
455,14,ON TIME,169,19,0,75.2
456,3,ON TIME,181,27,0,83.2
457,14,ON TIME,248,33,8,82.1
458,11,ON TIME,227,35,7,76.4
459,158,Delayed,257,30,7,83.5
460,12,ON TIME,225,30,8,74.7
461,0,ON TIME,188,21,6,61.1
462,9,ON TIME,229,35,9,77.6
463,0,ON TIME,192,25,0,86.8
464,3,ON TIME,220,26,0,98.4
465,7,ON TIME,111,17,0,51.2
466,0,CANCELLED,0,0,0,0.0
467,3,ON TIME,236,32,8,78.4
468,9,ON TIME,256,33,10,84.9
469,9,ON TIME,158,29,6,64.8
470,9,ON TIME,224,38,7,90.3
471,7,ON TIME,198,32,6,79.2
472,9,ON TIME,206,36,7,83.6
473,0,CANCELLED,0,0,0,0.0
474,10,ON TIME,180,31,5,72.5
475,132,Delayed,217,35,7,86.9
476,2,ON TIME,200,34,6,80.5
477,11,ON TIME,185,27,0,84.8
478,4,ON TIME,190,25,0,86.0
479,8,ON TIME,153,20,0,69.2
480,6,ON TIME,162,22,0,73.6
481,5,ON TIME,212,24,7,69.0
482,8,ON TIME,187,25,6,61.9
483,0,ON TIME,194,33,7,78.5
484,13,ON TIME,218,32,7,86.2
485,7,ON TIME,176,29,6,70.8
486,8,ON TIME,199,29,5,78.2
487,14,ON TIME,277,41,10,93.2
488,13,ON TIME,217,29,8,72.2
489,138,Delayed,193,25,0,87.2
490,11,ON TIME,163,22,0,74.0
491,8,ON TIME,172,21,0,77.2
492,14,ON TIME,172,22,0,77.6
493,11,ON TIME,196,31,6,78.2
494,3,ON TIME,165,25,5,65.4
495,7,ON TIME,229,35,8,77.3
496,13,ON TIME,244,40,8,83.0
497,13,ON TIME,169,24,0,77.2
498,5,ON TIME,146,21,0,66.8
499,127,Delayed,258,34,9,85.5
500,144,Delayed,259,36,8,86.1
501,0,ON TIME,300,41,9,99.4
502,93,Delayed,186,25,6,61.6
503,5,ON TIME,220,30,0,100.0
504,4,ON TIME,178,28,0,82.4
505,7,ON TIME,170,30,6,69.1
506,0,CANCELLED,0,0,0,0.0
507,3,ON TIME,181,26,0,82.8
508,2,ON TIME,192,27,0,87.6
509,4,ON TIME,210,28,7,69.6
510,7,ON TIME,215,26,6,70.2
511,126,Delayed,195,27,7,65.1
512,2,ON TIME,232,33,8,77.6
513,9,ON TIME,198,28,0,90.4
514,9,ON TIME,199,30,0,91.6
515,13,ON TIME,232,37,9,79.0
516,9,ON TIME,209,34,7,71.0
517,2,ON TIME,179,30,6,72.1
518,0,ON TIME,139,22,5,55.7
519,8,ON TIME,206,36,9,71.3
520,2,ON TIME,239,37,9,81.0
521,7,ON TIME,263,33,9,86.6
522,9,ON TIME,247,36,7,82.4
523,8,ON TIME,199,27,7,66.2
524,11,ON TIME,272,39,10,91.2
525,8,ON TIME,191,27,0,87.2
526,38,Delayed,163,18,0,72.4
527,0,ON TIME,163,24,0,74.8
528,26,Delayed,159,22,0,72.4
529,2,ON TIME,186,26,7,73.5
530,82,Delayed,217,27,7,84.2
531,8,ON TIME,185,21,0,82.4
532,7,ON TIME,153,20,0,69.2
533,12,ON TIME,206,33,6,82.2
534,2,ON TIME,175,24,5,68.5
535,3,ON TIME,267,37,9,88.9
536,51,Delayed,242,32,7,79.8
537,0,ON TIME,222,30,7,73.6
538,8,ON TIME,218,32,8,73.3
539,5,ON TIME,209,38,8,85.6
540,11,ON TIME,178,28,7,71.5
541,3,ON TIME,196,29,7,65.9
542,6,ON TIME,214,33,7,72.2
543,115,Delayed,175,31,5,70.8
544,4,ON TIME,201,30,6,79.5
545,0,ON TIME,198,40,7,82.2
546,0,CANCELLED,0,0,0,0.0
547,8,ON TIME,223,37,7,75.9
548,10,ON TIME,221,28,7,72.7
549,14,ON TIME,286,34,9,93.5
550,3,ON TIME,198,26,7,65.6
551,2,ON TIME,207,32,6,82.2
552,11,ON TIME,177,31,6,71.8
553,7,ON TIME,243,29,8,79.5
554,13,ON TIME,227,36,9,77.3
555,11,ON TIME,150,20,0,68.0
556,130,Delayed,198,29,0,90.8
557,12,ON TIME,183,28,6,72.8
558,1,ON TIME,182,24,5,70.8
559,1,ON TIME,186,34,5,75.5
560,5,ON TIME,195,27,6,76.5
561,2,ON TIME,185,33,6,75.2
562,117,Delayed,227,34,8,90.3
563,1,ON TIME,206,30,7,69.0
564,13,ON TIME,234,33,7,77.8
565,9,ON TIME,168,28,5,67.4
566,0,CANCELLED,0,0,0,0.0
567,0,CANCELLED,0,0,0,0.0
568,0,ON TIME,185,28,0,85.2
569,12,ON TIME,179,30,6,72.1
570,0,ON TIME,250,35,8,98.3
571,3,ON TIME,223,34,9,75.6
572,14,ON TIME,180,25,6,59.9
573,2,ON TIME,285,41,10,95.5
574,9,ON TIME,231,38,8,78.7
575,1,ON TIME,219,39,8,89.3
576,9,ON TIME,196,30,5,77.5
577,3,ON TIME,199,27,7,66.2
578,87,Delayed,257,36,10,86.1
579,8,ON TIME,198,30,6,78.5
580,7,ON TIME,232,31,8,90.9
581,9,ON TIME,146,25,6,59.4
582,7,ON TIME,180,32,6,73.2
583,9,ON TIME,170,26,6,67.8
584,9,ON TIME,177,28,7,71.1
585,1,ON TIME,188,33,5,75.8
586,9,ON TIME,208,30,6,81.9
587,44,Delayed,134,20,0,61.6
588,3,ON TIME,205,28,0,93.2
589,6,ON TIME,165,20,0,74.0
590,6,ON TIME,190,21,0,84.4
591,134,Delayed,224,31,8,74.7
592,4,ON TIME,284,42,10,95.5
593,85,Delayed,163,26,6,65.4
594,15,Delayed,203,36,7,82.6
595,3,ON TIME,205,27,0,92.8
596,100,Delayed,157,20,0,70.8
597,7,ON TIME,177,27,6,70.5
598,10,ON TIME,167,25,6,66.4
599,9,ON TIME,238,34,10,80.1
600,3,ON TIME,227,29,8,75.0
601,8,ON TIME,232,31,7,76.7
602,168,Delayed,195,25,6,64.2
603,5,ON TIME,244,29,9,80.1
604,14,ON TIME,298,39,9,98.3
605,2,ON TIME,173,27,6,69.1
606,10,ON TIME,213,33,6,84.6
607,0,ON TIME,233,32,8,77.6
608,9,ON TIME,300,42,10,100.0
609,124,Delayed,185,31,6,74.5
610,9,ON TIME,180,31,6,72.8
611,0,CANCELLED,0,0,0,0.0
612,5,ON TIME,161,30,5,65.8
613,10,ON TIME,218,34,7,86.9
614,9,ON TIME,168,32,5,68.8
615,10,ON TIME,149,20,0,67.6
616,10,ON TIME,174,23,0,78.8
617,12,ON TIME,190,33,7,77.2
618,10,ON TIME,226,31,7,88.6
619,77,Delayed,212,32,7,84.2
620,113,Delayed,180,29,4,71.5
621,148,Delayed,192,31,6,76.8
622,14,ON TIME,191,33,5,76.8
623,11,ON TIME,202,28,6,79.2
624,10,ON TIME,187,27,6,73.8
625,12,ON TIME,159,21,0,72.0
626,0,ON TIME,181,27,0,83.2
627,4,ON TIME,179,29,6,71.8
628,180,Delayed,205,31,6,81.2
629,8,ON TIME,198,28,7,66.2
630,2,ON TIME,280,42,9,94.0
631,21,Delayed,209,38,7,85.2
632,8,ON TIME,177,27,6,70.5
633,10,ON TIME,261,38,10,87.8
634,107,Delayed,240,34,9,80.4
635,6,ON TIME,206,31,7,69.3
636,13,ON TIME,202,30,7,67.9
637,2,ON TIME,237,35,9,79.8
638,1,ON TIME,209,33,8,71.0
639,164,Delayed,178,20,0,79.2
640,8,ON TIME,190,26,0,86.4
641,6,ON TIME,186,29,0,86.0
642,118,Delayed,159,22,0,72.4
643,18,Delayed,191,32,6,76.8
644,2,ON TIME,226,39,7,91.3
645,40,Delayed,168,23,5,65.8
646,5,ON TIME,250,37,6,98.3
647,0,ON TIME,290,42,10,97.2
648,135,Delayed,270,38,9,90.1
649,11,ON TIME,170,30,6,69.1
650,1,ON TIME,250,36,7,98.3
651,11,ON TIME,202,25,0,90.8
652,6,ON TIME,179,25,0,81.6
653,14,ON TIME,137,21,0,63.2
654,163,Delayed,137,17,0,61.6
655,65,Delayed,161,21,0,72.8
656,0,CANCELLED,0,0,0,0.0
657,3,ON TIME,178,23,0,80.4
658,8,ON TIME,207,25,0,92.8
659,128,Delayed,140,23,0,65.2
660,36,Delayed,167,28,0,78.0
